,CH,IT,DE,ES,AT,SE,UK,FR,CZ,PL,BE,NO
29,1688.0682021231255,1154.6033828715517,440.8370579081634,715.6288872720555,641.178008918269,2481.9731710695446,417.67155299501417,1871.6361947472226,73.01556974985687,281.4463800683012,49.82972270427433,11508.889978662766
30,1685.7142162431333,1153.1476863037192,436.7307151809068,715.5463871247334,639.480632148636,2481.345654233734,417.60864523850313,1871.1250784873355,72.1132651398635,279.0907364138055,49.69619060927459,11497.18179040472
31,1683.9962447112555,1151.4787107260372,433.330719889695,715.801032723673,637.9114414617069,2480.756054951674,417.5470213141739,1871.2307702359333,71.31970538793074,277.2695426872433,49.57357015425171,11486.473360988419
32,1681.6547538286195,1149.755683490295,429.9259692924968,715.8883718182127,636.3526662643657,2480.200293391146,417.4847468382965,1870.379848981367,70.54620369089713,275.379076105853,49.45811725756624,11476.343753763615
33,1679.298500169688,1148.3986746499286,426.7175464303023,715.8670830878583,634.8975281083157,2479.6876467889665,417.4276773935309,1869.4124761510823,69.8247015266214,273.6466035789616,49.37230158053132,11467.11445299297
34,1677.1306445424457,1147.8881246015796,423.75525996513517,715.7636972004846,633.6049341307365,2479.1759715121016,417.36588059387174,1868.410465778808,69.15089293889027,272.33247614339587,49.29465291830108,11458.500456089085
35,1675.2870340215154,1148.1160765677241,420.97754935934694,715.6501140655688,632.6441332039459,2478.6727285071943,417.3027509549837,1867.424579770796,68.50225524719389,271.1009298327691,49.2309538366327,11450.353324639258
36,1673.9182991910095,1149.2648909107504,418.43533540636713,715.6424876999283,631.8595289620491,2478.2096508089417,417.2404909640643,1867.3403973069428,67.90238716451687,269.7394344297814,49.24511218505769,11442.835274640067
37,1672.9710020825726,1152.750101986538,415.822472814742,715.8409232244554,630.9777745228353,2477.7646669155956,417.1792248216751,1867.9754116294112,67.32507728442805,268.13664903843073,49.24043943110843,11436.30472460935
38,1672.0952079668073,1157.4876429747956,413.20049178516325,715.9616046137215,630.022561572719,2477.3259942050513,417.1169590685925,1868.338776367772,66.75566107382328,266.27783154391705,49.19038717973943,11430.005233283115
39,1670.7570884673742,1161.7227792794188,410.6142225368575,715.7797086450984,628.9165907492511,2476.9012753024163,417.0533712032987,1867.687509024906,66.20513445292089,264.44990236531544,49.119077024342445,11424.454686377903
40,1669.1750447686381,1165.1310229780272,408.1099869236044,715.5169328571143,627.8536350208984,2476.4865786795735,416.99099094906114,1866.7073338301361,65.67841345542217,262.7146198401849,49.049192905893484,11419.85046380657
41,1667.5814008380682,1168.5496806030887,405.72924977003936,715.2836968081898,626.8224030043827,2476.0712305618313,416.92872079264663,1865.8230731521492,65.17707106217952,261.05731282107416,48.98263660260878,11415.849600959244
42,1666.2391852294854,1172.485427042397,403.4499825935355,715.3142821432555,625.8464023759076,2475.665393596766,416.8648301873564,1865.598106445804,64.70035854947102,259.4732392771199,48.919191917516045,11412.465827751501
43,1664.984313527426,1177.4255602641797,401.26650200266073,715.3534040177452,624.9290873330621,2475.31302542531,416.8026987587421,1865.2772580452377,64.24033003647247,257.9713058952965,48.862361034538786,11410.07575804001
44,1663.8113522944334,1183.1748319807157,399.1823572688586,715.5144696277481,624.0494231359683,2474.9723791850024,416.7389853362631,1865.4095199682479,63.80377001008515,256.5191290725562,48.80367103185483,11408.188999811384
45,1662.6804859837086,1188.864824058335,397.1661221975828,715.7769099172006,623.1893271142792,2474.6578002749256,416.6745734167917,1865.791856954667,63.38370503384354,255.14699519297622,48.75527179148548,11406.692734833294
46,1661.3596415102484,1192.5287435237137,395.29365599877997,715.7752501479929,622.3743380339968,2474.251388890828,416.6141569619775,1865.7109048499692,62.996943568703266,253.81431695640617,48.71315345207269,11405.822822444241
47,1659.8701234801529,1198.1335657115822,393.496033525273,715.5875779422706,621.5881141953224,2473.8619113144,416.5540577023265,1865.1937909834007,62.62517922311253,252.53716697969318,48.67279004346877,11406.019631736926
48,1658.3566041621618,1206.7950003405858,391.77157420488555,715.3376628893893,620.8336990565716,2473.4883307819096,416.49029777678606,1864.537468269469,62.26858468101086,251.3064970163503,48.6421561921666,11407.214140438999
