zone,hour,value
FR,501,47323.195334699994
BE,502,1449.649429075961
FR,502,38283.6266467
BE,503,1460.5360290759609
FR,503,33467.738646699996
BE,504,1901.164316871501
FR,504,45236.657334699994
BE,505,1407.9282168715008
FR,505,44115.597334699996
BE,506,796.2977168714997
FR,506,43275.2703347
FR,507,31563.535646700002
FR,508,39492.7333347
FR,509,42199.2703347
BE,510,1844.0568168715008
FR,510,48305.9923347
BE,511,1870.3262290759603
FR,511,40319.930646700006
BE,512,2081.57572907596
FR,512,55751.4463347
BE,513,1246.534829075962
FR,513,49298.900334699996
FR,514,39054.24433469999
FR,515,20545.876963571496
FR,516,24450.4491515715
FR,517,23192.976851571504
BE,518,799.5548168715004
FR,518,12976.212646699998
BE,519,2075.523116871501
FR,519,19492.4516467
BE,520,2074.8689290759603
FR,520,43641.910334700005
BE,521,3717.2541168715006
FR,521,52076.4623347
BE,522,2916.25812907596
FR,522,48653.6716467
BE,523,2493.46052907596
FR,523,48771.1296467
BE,524,1937.1747290759604
FR,524,53382.0083347
BE,525,70.77802907596106
FR,525,49114.3173347
BE,526,1557.5082290759592
FR,526,49062.4053347
BE,527,1561.6460290759596
FR,527,35399.29064670001
BE,528,1906.3718168715013
FR,528,43459.2053572
BE,529,157.9024168714991
FR,529,45942.3483347
BE,530,1178.3103168715015
FR,530,44921.3553347
FR,531,33326.070646700005
FR,532,41596.7483347
BE,533,1373.1862168715024
FR,533,44396.289334700006
BE,534,1607.8906290759614
FR,534,50312.5533347
BE,535,3520.0394168715
FR,535,42394.1866467
BE,536,2873.5998290759608
FR,536,57259.70633470001
BE,537,1446.142982049797
FR,537,47901.6393347
FR,538,26514.925663571496
FR,539,11114.037646700002
FR,540,19436.57033470001
FR,541,2518.618646700006
FR,542,18861.8543347
FR,543,26565.4073515715
BE,544,435.7119168715003
FR,544,40866.6393347
BE,545,2263.920529075959
FR,545,43809.43864670001
BE,546,2122.92092907596
FR,546,58257.5373347
BE,547,930.0526168714996
